e, e_dot, e_int, stamp, 
1.0037582078023495, 1.741630269632329e-07, 0.10688823524590459, 1697667743422875637, 
1.0037582227277162, 1.49265053650538e-07, 0.10108541208772372, 1697667743453167598, 
1.0000932334757784, -0.012216581088570303, 0.09045383357648878, 1697667743513100610, 
0.9950441654985744, -0.029046857430472528, 0.10926726405529526, 1697667743562475101, 
0.9875029475956233, -0.04196761960051698, 0.09914648364138152, 1697667743612824149, 
0.9787690236454174, -0.05425047284385679, 0.09869782199982934, 1697667743662462219, 
0.9665715846079241, -0.06977120995899717, 0.09830626079102475, 1697667743713381433, 
0.9539433265027659, -0.08275232380883828, 0.08703018618168452, 1697667743752515682, 
0.9273121854166219, -0.1308646639710076, 0.1043307845438234, 1697667743823287106, 
0.9150605515936501, -0.12960924969705281, 0.09355269827659816, 1697667743852882768, 
0.8693351789666255, -0.1733974851947253, 0.13068362398746647, 1697667743967864208, 
0.8344886438081257, -0.2621966877689575, 0.17859136560156333, 1697667744057463811, 
0.7904535774023382, -0.2778332252924699, 0.1568459962065486, 1697667744156511224, 
0.7558968219057755, -0.27319673813726864, 0.15173695049987504, 1697667744248661470, 
0.5360987005931407, -0.746150091747347, 0.14584276989870554, 1697667744366613987, 
0.49744189813655315, -0.7614537206788271, 0.12513676770876755, 1697667744458453832, 
0.45778089320109827, -0.2750990469524927, 0.09440958246074146, 1697667744556531955, 
0.4206689278719934, -0.2684927141434882, 0.08741701804329699, 1697667744649058260, 
0.3903124348952257, -0.2206142851605818, 0.08836835689625216, 1697667744765479746, 
0.19579286053480593, -0.7918856076636146, 0.06993618052008026, 1697667744857455075, 
0.1656867257996838, -0.8042644776647415, 0.04837588095227486, 1697667744958522022, 
0.16807628519184492, -0.0908166999971841, 0.034425023531830225, 1697667745052477123, 
0.2137652644049023, 0.14692804653002875, 0.03722388336928967, 1697667745162477973, 
0.22137075079492818, 0.16380056043136282, 0.04222617663344443, 1697667745262483666, 
0.2143086644969462, -0.0005062287337360092, 0.04135838442576068, 1697667745353526044, 
0.03828973103086997, -0.6187644828803568, 0.030018100440225636, 1697667745452484011, 
0.0631506523494465, -0.5177001099844736, 0.022012488446131972, 1697667745562671458, 
0.12816401023518076, 0.2923222512108395, 0.0160724443973034, 1697667745662485799, 
0.1557147209921501, 0.3190976258348977, 0.02196280152730661, 1697667745752535509, 
0.12956397794774088, 0.01542113244151185, 0.026288184801029454, 1697667745853236664, 
0.09100160709052385, -0.2042001537909822, 0.02633581722823507, 1697667745962505179, 
-0.08855723114684033, -0.716368723588753, 0.00920691784585387, 1697667746062471555, 
-0.07310272658843442, -0.5415355801908294, -0.004475856825167629, 1697667746152540332, 
-0.025059948560224643, 0.21741406666143584, -0.01182691168552039, 1697667746252492725, 
-0.02766199240920708, 0.152418097499308, -0.008855533937313908, 1697667746363680185, 
-0.07764381750293514, -0.17643356653358647, -0.009124977815432795, 1697667746462478336, 
-0.23205437893784986, -0.7399806275400765, -0.021240614354735524, 1697667746552563892, 
-0.23737908257009355, -0.5891076281869516, -0.034652756741122816, 1697667746652503172, 
-0.19859074960283496, 0.09748606923543109, -0.04723585235058302, 1697667746764693265, 
-0.1512280978977646, 0.27669006577058863, -0.041099864312083116, 1697667746862482783, 
-0.14825251476600076, 0.17245474826293505, -0.031191275114338276, 1697667746952565591, 
-0.18282672215091017, -0.10419328981274495, -0.030565517548252326, 1697667747052603368, 
-0.2724072417707526, -0.38445309750692397, -0.04243302021177551, 1697667747163504966, 
-0.22723806020634918, -0.11716231222060809, -0.04775033607220878, 1697667747262503559, 
-0.1668634355585159, 0.3755227637474499, -0.04200530062899789, 1697667747352573608, 
-0.13787728828374785, 0.32012648776346225, -0.0336915403116659, 1697667747452501025, 
-0.17028016191082535, -0.0014930376091979263, -0.03324117843390087, 1697667747562508662, 
-0.24365365129938876, -0.3427974569016305, -0.03862551621621042, 1697667747662494170, 
-0.23975637042275605, -0.23017327138428242, -0.04138893327112301, 1697667747752456137, 
-0.20210730386300557, 0.13986671694989206, -0.043420277343205166, 1697667747852512463, 
-0.1693799966362839, 0.22300208151572565, -0.043165537211847106, 1697667747964313728, 
-0.1934140328413724, 0.015982217024446438, -0.03954068120515296, 1697667748062499653, 
-0.2464751562723475, -0.27513800541067673, -0.038499894910888774, 1697667748153884590, 
-0.25989589301923255, -0.2378846026030771, -0.04485087227493749, 1697667748254776711, 
-0.2283152680242654, 0.05109715748332611, -0.051720326388053975, 1697667748365078096, 
-0.1974419564047991, 0.20275884858227913, -0.04712535769627622, 1697667748460968544, 
-0.19822426891453973, 0.10447222580970711, -0.03898079924514459, 1697667748552491343, 
-0.22126855584702992, -0.07843416822059222, -0.039720167334319705, 1697667748654117813, 
-0.22498885426781906, -0.08684496110431546, -0.04549165705620034, 1697667748764250615, 
-0.19673949994831152, 0.08641469893922811, -0.04426798281749625, 1697667748860656828, 
-0.16571530786821093, 0.2100202978282144, -0.03690244913352317, 1697667748952706725, 
-0.1549130578010135, 0.1483024415798185, -0.033144426783693094, 1697667749052847505, 
-0.15248645619631634, 0.04333411573884161, -0.0330840445460467, 1697667749162491177, 
-0.1599072613303436, -0.017864256002693178, -0.03234403375933764, 1697667749260488623, 
-0.15205418185420552, 0.0031995681829172875, -0.02942071119339281, 1697667749352527850, 
-0.1349794459207286, 0.08512008717485271, -0.028672292853242142, 1697667749452945569, 
-0.12756192094979854, 0.07895447115293439, -0.029217206005370706, 1697667749563942609, 
-0.11603320142641951, 0.06079581021004629, -0.026596127735727098, 1697667749663705588, 
-0.12951340932350303, -0.011871014155490087, -0.02349751008776342, 1697667749752875652, 
-0.13830355976737843, -0.07966527385818818, -0.024215950333522578, 1697667749852966546, 
-0.13455452347659314, -0.017879206357861565, -0.028134210693866513, 1697667749962638604, 
-0.13057312534125665, 0.024548372461783277, -0.02831635510268826, 1697667750063532966, 
-0.13267891231867832, 0.00528502864442119, -0.025207683050471618, 1697667750152738659, 
-0.1082755636476892, 0.07317161590883171, -0.023478202540328275, 1697667750253114056, 
-0.10888741459548679, 0.07917644892624638, -0.02446574260315806, 1697667750362539800, 
-0.10652336837796811, 0.005938286515463748, -0.022704011285250104, 1697667750463540089, 
-0.1011677941066112, 0.027854398512648912, -0.02005283715242668, 1697667750552566908, 
-0.07082485225033172, 0.12085283479331065, -0.017580552033619114, 1697667750652906780, 
-0.06669334683230468, 0.11324787062565593, -0.016785958058413406, 1697667750763546503, 
-0.06009617503981475, 0.03466348211646858, -0.013808259006371684, 1697667750862531091, 
-0.05890406916251246, 0.026628363556385388, -0.011701532023908362, 1697667750952592317, 
-0.060789539287824636, -0.0007183222240049336, -0.012738783728041304, 1697667751075092397, 
-0.038031973935463675, 0.08159315307473768, -0.011039299419049402, 1697667751162563951, 
-0.036886540594396694, 0.09054174259949122, -0.008480524889066136, 1697667751262565240, 
-0.041893905783855566, -0.014720917675160169, -0.007399458818226171, 1697667751352598336, 
-0.04728889922038506, -0.0365105615399437, -0.007988525407594071, 1697667751452663603, 
-0.05002496680609711, -0.02627110763444816, -0.009742399252583358, 1697667751562552115, 
-0.03350062288467373, 0.04678000412880797, -0.009152280788709322, 1697667751662555050, 
-0.03446317102355151, 0.05151607157424427, -0.007474261555681012, 1697667751752593815, 
-0.03809089166477004, -0.015672735630472227, -0.006713240633294419, 1697667751852454457, 
-0.04535817964734453, -0.034069071029198934, -0.008260643520516498, 1697667751962766483, 
-0.045840399247052986, -0.02365296047213734, -0.008845402868014433, 1697667752057700936, 
-0.029524550537562862, 0.0532837766731717, -0.0078011227889420234, 1697667752156626338, 
-0.027076469918285224, 0.06379364511414302, -0.0065384966702426795, 1697667752249181004, 
-0.02928724446836494, 0.002538572920544739, -0.006010299423976056, 1697667752366560702, 
-0.03265190738888658, -0.018468733508800534, -0.006212733429187015, 1697667752458562233, 
-0.03316055508184008, -0.013919579409940978, -0.006025041647827027, 1697667752556625693, 
-0.03039038238289582, 0.008324664391619408, -0.006089957388284244, 1697667752648472128, 
-0.028997860650496768, 0.013984496006204855, -0.006476290145571976, 1697667752766556787, 
-0.03223544453124305, -0.007930837471543167, -0.0063851371415646245, 1697667752857538276, 
-0.03915504974293761, -0.03445702016995339, -0.006460381350880361, 1697667752959618463, 
-0.04036928149776132, -0.02693528153106767, -0.007277055370182683, 1697667753052878379, 
-0.04128788754137134, -0.0073829073426419645, -0.007807955410165436, 1697667753153505029, 
-0.0470079547799791, -0.020525030303812166, -0.00899334913373581, 1697667753262570381, 
-0.056201513185025226, -0.051147473853504044, -0.009637690445624248, 1697667753353599150, 
-0.07232748353077237, -0.0877133188034639, -0.011145632839142744, 1697667753453053913, 
-0.09737864815268239, -0.13017263627592587, -0.015749399207389953, 1697667753562747440, 
-0.1413021652172497, -0.22278695423552228, -0.021721100814384463, 1697667753662576627, 
