e, e_dot, e_int, stamp, 
0.9519806958101503, 5.718547376372859e-08, 0.0940390808554823, 1697667937113078917, 
0.9519807012734376, 3.992599325227294e-08, 0.09606210055290326, 1697667937163993031, 
0.951980706860287, 3.6833788981856706e-08, 0.08692512650572799, 1697667937204388674, 
0.9519807066715537, 1.799372021752769e-08, 0.0855543726752181, 1697667937253862891, 
0.9519807068190735, -1.824212728108188e-10, 0.15189608906196767, 1697667937363946623, 
0.9491186649179739, -0.00950013576507754, 0.20019569802852938, 1697667937464367706, 
0.937108386255312, -0.04966321144367805, 0.18930879615088278, 1697667937564046981, 
0.9177416217970915, -0.11229160083056934, 0.17681868978609405, 1697667937653548161, 
0.8853265166538786, -0.1700444949186414, 0.18254257702832388, 1697667937763898241, 
0.8450441881079841, -0.23193673001149887, 0.1858439537337572, 1697667937864087516, 
0.80423645942536, -0.27063146404264565, 0.16877196665942576, 1697667937963659335, 
0.7662997925190767, -0.2764187286162958, 0.15300386753880293, 1697667938054108761, 
0.7172817626230092, -0.2875564272458154, 0.15331308647096928, 1697667938164697729, 
0.6728751837831893, -0.29434667312216156, 0.15207339895444494, 1697667938265668858, 
0.4537076095832846, -0.9036308958918053, 0.12137179927832198, 1697667938362171777, 
0.40634348016866884, -0.9270639430184695, 0.09675659717274322, 1697667938455025513, 
0.34923861708527304, -0.34495034495638993, 0.08129460373485421, 1697667938563847033, 
0.2959847335372153, -0.3527049888612166, 0.07314276670900727, 1697667938663693468, 
0.25293094806729177, -0.32401287656087063, 0.0592752536348184, 1697667938761837246, 
0.043392521649995186, -0.9039554606695147, 0.03757644604302757, 1697667938854015563, 
-0.007780360673858455, -0.9132133434484894, 0.01941745042973157, 1697667938963721642, 
-0.047555334349950074, -0.288099800068559, -0.0008347566852889383, 1697667939063697695, 
-0.08073958684368221, -0.2464624991439518, -0.008941779239585543, 1697667939160857649, 
-0.10718312154070408, -0.20826535587752604, -0.014954139461426668, 1697667939254214050, 
-0.13939723123045877, -0.19246878466565728, -0.022134606567221826, 1697667939363728943, 
-0.16222351169031657, -0.17414276640062654, -0.028549406688500194, 1697667939463723371, 
-0.3330855818085309, -0.6625113997398853, -0.041703602906102914, 1697667939560845001, 
