x, y, theta, stamp, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662383778118898, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662383826178890, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662383874266948, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662383938997807, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662383986143107, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662384033940509, 
-0.669708788394928, 3.45503830909729, 1.2925883239039422, 1697662384082217281, 
-0.6690320372581482, 3.4570369720458984, 1.2828108414570982, 1697662384178126831, 
-0.6657604575157166, 3.465430498123169, 1.2462920380728957, 1697662384273748693, 
-0.6587967276573181, 3.4815444946289062, 1.1801242464045645, 1697662384386276295, 
-0.6497858762741089, 3.501220941543579, 1.0999463240718323, 1697662384482209205, 
-0.6366536617279053, 3.524768829345703, 0.9994206363697361, 1697662384578134835, 
-0.6198694109916687, 3.549163341522217, 0.8859804665148064, 1697662384674086870, 
-0.5963707566261292, 3.5751123428344727, 0.754795237326547, 1697662384786197986, 
-0.5747632384300232, 3.5940942764282227, 0.6486486796711627, 1697662384882229989, 
-0.550471842288971, 3.611178159713745, 0.5514361869445477, 1697662384978118047, 
-0.5252485275268555, 3.6258113384246826, 0.4672401014116023, 1697662385074146578, 
-0.495061993598938, 3.6403682231903076, 0.3900503231075053, 1697662385186117680, 
-0.4677650034427643, 3.6512250900268555, 0.3351500007102744, 1697662385283138851, 
-0.4397223889827728, 3.660855531692505, 0.2921669828275791, 1697662385378124606, 
-0.4121879041194916, 3.6690189838409424, 0.264850112275099, 1697662385473521895, 
-0.3791063725948334, 3.6775991916656494, 0.24089528373387764, 1697662385586127846, 
-0.3502943813800812, 3.6843760013580322, 0.2178521524948255, 1697662385683158580, 
-0.32174140214920044, 3.690580129623413, 0.19804915300931653, 1697662385778220210, 
-0.29309237003326416, 3.696087598800659, 0.1758772791661034, 1697662385874218975, 
-0.26395371556282043, 3.700908660888672, 0.15050811977954948, 1697662385970108983, 
-0.2291446179151535, 3.7057881355285645, 0.1171975697597242, 1697662386084149532, 
-0.20090875029563904, 3.7087442874908447, 0.085158469663827, 1697662386178132410, 
-0.171759232878685, 3.711057424545288, 0.051830537994357155, 1697662386273733223, 
-0.1372644603252411, 3.712423086166382, 0.014725403557099162, 1697662386385900635, 
-0.10778287053108215, 3.7127442359924316, -0.01486214474634359, 1697662386482190842, 
-0.07846387475728989, 3.712200164794922, -0.042654008081521144, 1697662386579151473, 
-0.04906926676630974, 3.710636854171753, -0.07082393525901176, 1697662386674498997, 
-0.02017052099108696, 3.708423376083374, -0.09415546075353554, 1697662386769565899, 
0.014057675376534462, 3.704685688018799, -0.11627242461432036, 1697662386882151616, 
0.042334672063589096, 3.701131582260132, -0.13056383394508975, 1697662386978213417, 
0.0713963732123375, 3.6971042156219482, -0.1441097418558897, 1697662387075142347, 
0.10038281977176666, 3.6926958560943604, -0.15765820525016552, 1697662387170141660, 
0.13433247804641724, 3.6870384216308594, -0.1688099740945078, 1697662387282150493, 
0.16277258098125458, 3.6819536685943604, -0.1780075329921338, 1697662387378212102, 
0.19218985736370087, 3.6763346195220947, -0.19061723882387502, 1697662387476122017, 
0.2255837619304657, 3.669416666030884, -0.2017992010252471, 1697662387587149337, 
0.25356847047805786, 3.663271903991699, -0.21016142465991464, 1697662387682260881, 
0.28220224380493164, 3.6569502353668213, -0.22183103669445145, 1697662387778246472, 
0.31083959341049194, 3.6502840518951416, -0.23474216428205524, 1697662387874226359, 
0.3398037552833557, 3.6431779861450195, -0.24540205913844662, 1697662387971136385, 
0.3725990355014801, 3.634842872619629, -0.2562150597883057, 1697662388082279890, 
0.401423841714859, 3.6270153522491455, -0.26588967440463995, 1697662388178164736, 
0.4293145537376404, 3.619084596633911, -0.27568527088179023, 1697662388274273371, 
0.4621168076992035, 3.6096625328063965, -0.28369972211831207, 1697662388387220771, 
0.4899597465991974, 3.601567029953003, -0.2901878092466818, 1697662388482148438, 
0.5186758637428284, 3.592849016189575, -0.2969874349672802, 1697662388579172234, 
0.5463064908981323, 3.5840578079223633, -0.30351858205335663, 1697662388674223648, 
0.5739901661872864, 3.5752716064453125, -0.3082061798377725, 1697662388771201771, 
0.6066312789916992, 3.564923048019409, -0.3127423057938463, 1697662388882207303, 
0.63511723279953, 3.5555579662323, -0.31697466923236334, 1697662388978789953, 
0.6621220707893372, 3.54667067527771, -0.3221955289440925, 1697662389074254879, 
0.6947442293167114, 3.5354654788970947, -0.3265978315160843, 1697662389187284960, 
0.7220948338508606, 3.526209592819214, -0.3303006299349913, 1697662389281789985, 
0.7505565285682678, 3.5161707401275635, -0.33525029070794216, 1697662389378862310, 
0.7830776572227478, 3.504606246948242, -0.3392490574822965, 1697662389491316626, 
0.8102394342422485, 3.495063304901123, -0.3430136374071684, 1697662389585950890, 
0.8377467393875122, 3.485182762145996, -0.3455719368766211, 1697662389682225096, 
0.8655965328216553, 3.4750547409057617, -0.34956138250425045, 1697662389779198366, 
0.8927293419837952, 3.464972972869873, -0.3532549268415697, 1697662389874268784, 
0.9244232773780823, 3.453134536743164, -0.3572175967279707, 1697662389985561523, 
0.9520606994628906, 3.443035125732422, -0.3602159932120422, 1697662390081496236, 
0.9805359840393066, 3.432126998901367, -0.3625590086855773, 1697662390180326711, 
1.00702702999115, 3.4220144748687744, -0.36478045645107415, 1697662390274203688, 
1.0387781858444214, 3.4097394943237305, -0.36689682715129995, 1697662390386229390, 
