e, e_dot, e_int, stamp, 
-1.4614108752125132, 0.0, -0.14051180590047652, 1697662383874266948, 
-1.4614108752125132, 0.0, -0.16487479223349788, 1697662383938997807, 
-1.4614108752125132, 0.0, -0.16349703543960428, 1697662383986143107, 
-1.4614108752125132, 0.0, -0.13875029722486085, 1697662384033940509, 
-1.4614108752125132, 0.0, -0.1404038427106593, 1697662384082217281, 
-1.4524029828325489, 0.031306901067948416, -0.21028252073728027, 1697662384178126831, 
-1.4191454587285781, 0.14724107277431253, -0.2766326053600702, 1697662384273748693, 
-1.3592957166881154, 0.2932232426445998, -0.2935493146023703, 1697662384386276295, 
-1.2868928389305212, 0.42886376606491067, -0.2824872033606119, 1697662384482209205, 
-1.1958817435958007, 0.5678304421907304, -0.24571133272821502, 1697662384578134835, 
-1.0926036796509324, 0.6750393967798337, -0.22867841081277646, 1697662384674086870, 
-0.9727817978356814, 0.7150429458211737, -0.22618317809047364, 1697662384786197986, 
-0.8754173434753967, 0.694217654842273, -0.20403595717301046, 1697662384882229989, 
-0.7866344754891714, 0.6465920921340204, -0.16855914282038484, 1697662384978118047, 
-0.7101675347409357, 0.5740650586916209, -0.15175608224098158, 1697662385074146578, 
-0.6412819222586706, 0.47050094073348414, -0.1482402244269542, 1697662385186117680, 
-0.5931607753718849, 0.3703982971098881, -0.1354695041874587, 1697662385283138851, 
-0.5566925534945758, 0.29330654486840113, -0.11463679120625819, 1697662385378124606, 
-0.5353992716395964, 0.20237998397818857, -0.10694783999775302, 1697662385473521895, 
-0.5183610015101419, 0.12483838392705404, -0.11165980193639188, 1697662385586127846, 
-0.5012044699926427, 0.10937474174396349, -0.1086592180147484, 1697662385683158580, 
-0.48715621289795136, 0.10819865186514364, -0.09647657674886641, 1697662385778220210, 
-0.4705955141626292, 0.10676333918614749, -0.09291624909889556, 1697662385874218975, 
-0.45074421952889965, 0.126510337252255, -0.09009151965550964, 1697662385970108983, 
-0.4238299936201154, 0.14767575645475386, -0.0941307433713572, 1697662386084149532, 
-0.39669585408852936, 0.17490646769789922, -0.08815131867642481, 1697662386178132410, 
-0.3682413742840575, 0.19545070623230884, -0.07512362589506429, 1697662386273733223, 
-0.3364766314557225, 0.19360964908501113, -0.07627960088230888, 1697662386385900635, 
-0.3112160454579837, 0.1818428450707444, -0.0705930644579033, 1697662386482190842, 
-0.2874642317683144, 0.16910051330772902, -0.060239952088096654, 1697662386579151473, 
-0.2630058176089931, 0.16716069642614564, -0.055236421028976634, 1697662386674498997, 
-0.24312060299072702, 0.15522978408298527, -0.05037036951654161, 1697662386769565899, 
-0.22470495287270853, 0.1242469276492326, -0.050586349582972305, 1697662386882151616, 
-0.21335020220131812, 0.09392419922540358, -0.04737521041399312, 1697662386978213417, 
-0.20273367065190662, 0.07591052911077434, -0.04122210129782649, 1697662387075142347, 
-0.192007971918739, 0.07414397900938467, -0.038903333116570585, 1697662387170141660, 
-0.18403279593299768, 0.061368073823550556, -0.03993700782227674, 1697662387282150493, 
-0.17741544443510404, 0.0466959497312933, -0.03838595957272293, 1697662387378212102, 
-0.16738009483146807, 0.05712742677645736, -0.03419254603768113, 1697662387476122017, 
-0.1589515608238015, 0.05946993286248442, -0.03508384207738363, 1697662387587149337, 
-0.15279940469871314, 0.04686588148914115, -0.03292251082949515, 1697662387682260881, 
-0.14344416224251047, 0.05404955374729087, -0.028995494927285082, 1697662387778246472, 
-0.132744659746436, 0.06964719254674434, -0.027450309997489642, 1697662387874226359, 
-0.12420468878883925, 0.06653306129523141, -0.025743956486563885, 1697662387971136385, 
-0.11572447930070312, 0.0548074393366992, -0.025845368597520464, 1697662388082279890, 
-0.10790369124647242, 0.05262134033987529, -0.024003754430650035, 1697662388178164736, 
-0.09976726133709057, 0.05540768587803108, -0.020696604902319546, 1697662388274273371, 
-0.09372500366076647, 0.04605162862469734, -0.021002881192491003, 1697662388387220771, 
-0.0889196326494337, 0.03470586817560601, -0.0195687973816759, 1697662388482148438, 
-0.08370478353067135, 0.03478984717667691, -0.01704205360255217, 1697662388579172234, 
-0.07851708850674305, 0.03610864139864522, -0.016079352417480777, 1697662388674223648, 
-0.07523939454370643, 0.029458686897499503, -0.015199859025668734, 1697662388771201771, 
-0.0724422204336379, 0.01966559768765706, -0.015681877702293907, 1697662388882207303, 
-0.06958344127248578, 0.018265938108185293, -0.01503388601300999, 1697662388978789953, 
-0.06571139515959917, 0.02338639506282487, -0.01329846607214541, 1697662389074254879, 
-0.06270310730531886, 0.022391604400865295, -0.013760527555171874, 1697662389187284960, 
-0.060315344657605074, 0.017293639172418787, -0.013056022942645544, 1697662389281789985, 
-0.05651546294584053, 0.02147027907828609, -0.011464877217782197, 1697662389378862310, 
-0.053829078938743835, 0.02101117360038442, -0.011919264260208687, 1697662389491316626, 
-0.051297363111964145, 0.016880434547723092, -0.011158064191410045, 1697662389585950890, 
-0.0498865542562974, 0.013802234319893978, -0.009864431318362015, 1697662389682225096, 
-0.04702103803294155, 0.014734538741447853, -0.009546744520658354, 1697662389779198366, 
-0.04431110704345281, 0.019351335967165467, -0.009040053278137755, 1697662389874268784, 
-0.04151026060406543, 0.017890313400049002, -0.009137926073231474, 1697662389985561523, 
-0.039762550280631026, 0.014461394926859347, -0.008674811774809164, 1697662390081496236, 
-0.03835977240003752, 0.010803827944030911, -0.007766754191458956, 1697662390180326711, 
-0.03709101210266463, 0.009236305525274052, -0.00740082272750637, 1697662390274203688, 
-0.036048564560918483, 0.007606856629112796, -0.007652671559651878, 1697662390386229390, 
-0.035045221084164524, 0.006584566851046948, -0.0075028083648694885, 1697662390482259030, 
-0.03259244467407757, 0.011831822693866907, -0.006703515734048091, 1697662390580185204, 
-0.03092916055631495, 0.014245489133027936, -0.006306766840352512, 1697662390674213070, 
-0.029382681849771553, 0.010468959704021586, -0.0064031059807412895, 1697662390786949806, 
-0.029331456227874364, 0.004750217407189317, -0.006240292303409529, 1697662390883050509, 
-0.02664758572728232, 0.009554356458324408, -0.005449212233621275, 1697662390978459958, 
-0.02590452061350834, 0.011936176334204884, -0.00524550498962178, 1697662391075232120, 
-0.025277229427167147, 0.0044274857612059135, -0.005414570233898971, 1697662391187169316, 
-0.02542763394887021, 0.001345957427560748, -0.005310965514588015, 1697662391283207902, 
-0.024763710246378468, 0.001783477546158392, -0.0048307341652486634, 1697662391379198949, 
-0.023548725521164326, 0.006566924979861467, -0.00469548767307649, 1697662391474236512, 
-0.02164444306353308, 0.009896923175341936, -0.004842732290537773, 1697662391586872549, 
-0.02307843312817104, 0.0006768172157267579, -0.004756980009254427, 1697662391683268374, 
-0.023902947185103163, -0.00782438844758014, -0.004398957185956156, 1697662391779174381, 
-0.023722401215171385, -0.002239245799699231, -0.004524414851710432, 1697662391875241763, 
-0.02292176637421295, 0.0030108064657904956, -0.004891184695648509, 1697662391987170897, 
-0.02229481760148133, 0.004559091855672698, -0.004780336364317612, 1697662392083266425, 
-0.022910837523676397, 3.381057019781272e-05, -0.004360315484164776, 1697662392179177965, 
-0.0221400896790932, 0.0005324818432908314, -0.004310395030078933, 1697662392275278335, 
-0.023406173184589485, -0.0010974315617207433, -0.00474679320639702, 1697662392387196995, 
-0.02297065033142609, -0.0022520612904107103, -0.004739191372550154, 1697662392482782927, 
-0.023234374960789173, 0.0006072589346227528, -0.00445573962992694, 1697662392579223841, 
-0.02394993652715255, -0.0033949889224704002, -0.004501244262105176, 1697662392675267285, 
-0.025042708152913817, -0.005737069209673629, -0.005007702109247339, 1697662392787222266, 
-0.02591845847992419, -0.006292786893770999, -0.005193987881098832, 1697662392883273348, 
-0.02617881995182325, -0.0039440377510922935, -0.004936029424586674, 1697662392979186109, 
-0.027876589858618128, -0.006791142786696478, -0.005119804767904588, 1697662393075328761, 
-0.03278006513726611, -0.02293127168807481, -0.005558497428760644, 1697662393171221591, 
-0.03803485218709085, -0.032537748946062636, -0.006873921933563636, 1697662393284280538, 
-0.04571216515560872, -0.04245606992564702, -0.00807802942848558, 1697662393379191170, 
-0.053662940142592264, -0.05452967682954309, -0.008750798510445319, 1697662393475332162, 
-0.06280275335602464, -0.05475513262272872, -0.011254862714789213, 1697662393587385978, 
-0.07245165530774222, -0.06091469527416742, -0.013061721189106125, 1697662393682751776, 
-0.08517349140378028, -0.07769729811012414, -0.014093139349141652, 1697662393779192088, 
-0.09218606633888876, -0.06829630287109872, -0.01603256156365137, 1697662393875287908, 
-0.08638766562105643, -0.0070530034098332086, -0.018286466152885858, 1697662393987191997, 
-0.07308962025149074, 0.06339715715327933, -0.01744908943099184, 1697662394083293038, 
-0.06543708183566571, 0.07270530590947188, -0.014399719853392862, 1697662394179261361, 
-0.047319104916873245, 0.08953991281753164, -0.011887428809485288, 1697662394275184838, 
-0.03890275444288077, 0.09218343698004401, -0.009702275612777747, 1697662394371184281, 
0.0006689025695866269, 0.14681723828681612, -0.0059365219530818965, 1697662394483354918, 
0.007772178102513183, 0.14227787628728375, -0.0021129484437659276, 1697662394579276764, 
0.021071751565842956, 0.07040128955546808, 0.0018975969432447324, 1697662394676246972, 
0.0214558673819214, 0.04706318023146857, 0.0032206249818158357, 1697662394771362528, 
0.039493048340622006, 0.05506634908873372, 0.005660412177381466, 1697662394883283041, 
0.05566847919457707, 0.10987313228764332, 0.0080831650503706, 1697662394979303163, 
0.089551010158054, 0.17403672124415984, 0.011811001882971673, 1697662395075110873, 
