e, e_dot, e_int, stamp, 
0.5772362932901246, -0.004797646809702183, 0.057172013627435896, 1697667220754721348, 
0.5770297476114249, -0.003228932636237062, 0.05781735809246037, 1697667220804869141, 
0.5768223797923722, -0.0013797116591747944, 0.052571375777577936, 1697667220845828264, 
0.6594515564289961, 0.22882908699805082, 0.09729089309848926, 1697667220965830971, 
0.6519529618588512, 0.20143117537359534, 0.13153917590262754, 1697667221054816669, 
0.6429626728948622, -0.058084751375805745, 0.12305503966519891, 1697667221154723376, 
0.6383043644850117, -0.04460699725545678, 0.13286242675955395, 1697667221260994590, 
0.6736582326229761, 0.10351840229692154, 0.1342585161536514, 1697667221360754550, 
0.6605789635170938, 0.07363044299501187, 0.13001248925873238, 1697667221458728050, 
0.6442371800220309, -0.10430227081993709, 0.12468369524062657, 1697667221549814914, 
0.6181001433243787, -0.14524441747743427, 0.12374313905134099, 1697667221651783473, 
0.5806839566921351, -0.19391802773743025, 0.13327704133028329, 1697667221766758217, 
0.5636735090273668, -0.17213800131542845, 0.11987176773458984, 1697667221855825432, 
0.5382666543749773, -0.14842200285966756, 0.10599602082418984, 1697667221955741638, 
0.5088741721738632, -0.19270381761325148, 0.10238411839971388, 1697667222046506846, 
0.46842783747243477, -0.22092026390411665, 0.10614044365131245, 1697667222165841872, 
0.4470424302560543, -0.1920402223476438, 0.09946512526218972, 1697667222256003487, 
0.4268208279816087, -0.14723075483327114, 0.08458381119923128, 1697667222354885392, 
0.40795849531267625, -0.12489003206813787, 0.08961111666961859, 1697667222465731048, 
0.3664527699697385, -0.19413854688983703, 0.08469770529639815, 1697667222566412471, 
0.34930882117133055, -0.20102575121035016, 0.07136397054322202, 1697667222656251725, 
0.33629006322399535, -0.10750608538136026, 0.06617371626055589, 1697667222755111522, 
0.3254252655780916, -0.08348516314566588, 0.06414618165897173, 1697667222846591931, 
0.3159589293232701, -0.06594585665880875, 0.06882812991995474, 1697667222966311099, 
0.30577434924874114, -0.0641141022741738, 0.06618505980294628, 1697667223056224395, 
0.27283436083647894, -0.14759868751615252, 0.056618780017696775, 1697667223156186445, 
0.2641000738118434, -0.14220922464348681, 0.053346550053930256, 1697667223246135374, 
0.2560125092930732, -0.054836081902942896, 0.055488486531531385, 1697667223366119103, 
0.24799024452054952, -0.051860949176373926, 0.05401362810793543, 1697667223457097863, 
0.23508748713909466, -0.07296200637924238, 0.046733319190313365, 1697667223555811714, 
0.22574720994028896, -0.07803521438547373, 0.04466731417378625, 1697667223646145870, 
0.2133568074099913, -0.06893487485867521, 0.047228258093541836, 1697667223765966801, 
0.1843307310360094, -0.14224456814581482, 0.04355612863100133, 1697667223855740196, 
0.1764696302745672, -0.13397758654193279, 0.036320962591067506, 1697667223955745652, 
0.1649572982480645, -0.0688675860708373, 0.033288930331715136, 1697667224045688529, 
0.14940743185222183, -0.08559405774191682, 0.03447042213507286, 1697667224166430304, 
0.14125064622953376, -0.07303191618252264, 0.03205436570502608, 1697667224256750539, 
0.13027480286877346, -0.06693774462873331, 0.026609395683243737, 1697667224356076185, 
0.11862370906221398, -0.07228725014432855, 0.02716368178360451, 1697667224465622053, 
0.11853707191541196, -0.03574108913267909, 0.025682358036920795, 1697667224565764842, 
0.11919376522764247, 0.0021130868085682108, 0.02272289216625458, 1697667224656916586, 
0.11963475317383199, 0.0038861147769315447, 0.02265249027164181, 1697667224755927165, 
0.11861178747589474, -0.002263466484167403, 0.022636286612678018, 1697667224846903162, 
0.11985984942364092, -0.00022119776717374057, 0.024939944599269282, 1697667224964859024, 
0.11882338472665799, -0.00023098479790107743, 0.02499782581354058, 1697667225056795472, 
0.11747328330062023, -0.008349596691021624, 0.022550270600726927, 1697667225154805883, 
0.11670311664936817, -0.007405283354658308, 0.022268882927725747, 1697667225246049550, 
0.11484335947964897, -0.008068448059478631, 0.02433997616481911, 1697667225364020194, 
0.10963732565787554, -0.024149674430546154, 0.02386160025244504, 1697667225455862561, 
0.10496661417025255, -0.034792682873662946, 0.020840175502559097, 1697667225553794178, 
0.10255158931022446, -0.02465828405737422, 0.020067822218482443, 1697667225645685727, 
0.10073421523172166, -0.013885481246341215, 0.021587251747292802, 1697667225763887437, 
0.09847882079107428, -0.013277142588236639, 0.02116610919959126, 1697667225856109091, 
0.09538858087681179, -0.01869617711081538, 0.018649677877604423, 1697667225953801648, 
0.09729235325239793, -0.003646817209839568, 0.018410854800449725, 1697667226045807576, 
0.10124516241345427, 0.018154332827236015, 0.020482028116859934, 1697667226162854485, 
0.10310949355235532, 0.017944009948551443, 0.0211133393913209, 1697667226255788170, 
0.1079572532393136, 0.022688005703034156, 0.020188057306236514, 1697667226356776555, 
0.11549974936515128, 0.044134538956692025, 0.02072107405151468, 1697667226446142119, 
0.13115408674589668, 0.07284098172472427, 0.024359690105757455, 1697667226562858859, 
0.15172906046941992, 0.11849666991195502, 0.027841864373132682, 1697667226655803713, 
0.1879562394484937, 0.1933808160142799, 0.030434983718272062, 1697667226756778386, 
0.2566025554076232, 0.3757191244975983, 0.03782719090114605, 1697667226846117119, 
0.4697011232783792, 0.8692321331046747, 0.0625342724506519, 1697667226961974757, 
1.0096415678900503, 2.529657240131512, 0.12138071318867862, 1697667227055883032, 
1.9548819736836087, 5.070573888629222, 0.22185799357595906, 1697667227155780942, 
2.366592870380246, 4.673970542628953, 0.33797217042182903, 1697667227246071434, 
2.475043224910108, 1.8317812207461108, 0.46718968198287414, 1697667227361999631, 
2.447034490030812, 0.2123051114686679, 0.5095618498936573, 1697667227455805916, 
2.2672255046601544, -0.6990169183632697, 0.4643933721780796, 1697667227555784769, 
1.9029804985447756, -1.9430952725290218, 0.41985054247001147, 1697667227646149856, 
1.049375320532775, -3.6802315881707877, 0.3690884734287255, 1697667227767921596, 
0.6263066108868716, -3.941237354910323, 0.25009813895236127, 1697667227855807635, 
0.46441544857028694, -2.144341151383554, 0.13401918625443784, 1697667227955790411, 
0.46744050651400304, -0.5285605672961166, 0.098818290781, 1697667228046066905, 
