e, e_dot, e_int, stamp, 
0.6818478145281665, 0.0, 0.06141853762306254, 1697667046756037832, 
0.6794460502373827, -0.008005880969279197, 0.06093055685790544, 1697667046806330083, 
0.6785081218467353, -0.011132308938103982, 0.05507164901020541, 1697667046837033413, 
0.676912736627159, -0.008444378700745622, 0.06422150999797109, 1697667046901011720, 
0.6751363554406734, -0.011239221353539497, 0.07785854599089077, 1697667046952063729, 
0.6724167227656624, -0.014986712871655206, 0.06894926144535275, 1697667047003185727, 
0.6714351396822045, -0.012337385861563114, 0.06557132440960763, 1697667047049495686, 
0.6698898862498504, -0.008422788386040306, 0.059270044716125174, 1697667047091484107, 
0.6684854570466401, -0.009832275451881292, 0.07608326840469663, 1697667047163063511, 
0.7415343064606401, 0.2694159032955289, 0.11121627708678969, 1697667047251899167, 
0.7282432400047396, 0.22937973303956494, 0.13393348381878395, 1697667047350973254, 
0.7197696847289841, -0.07410147647688259, 0.1424657092747969, 1697667047447098029, 
0.7062211337674722, -0.07044211960220555, 0.14800976672985128, 1697667047557092593, 
0.7003320514020414, -0.06088951248181299, 0.14812039107748806, 1697667047656079073, 
0.7091651890460776, 0.009299228146076526, 0.14109159530358947, 1697667047757154563, 
0.689488678592337, -0.0441339078057556, 0.13335439662425563, 1697667047846677393, 
0.6586928709462829, -0.16674400075799387, 0.13670093141180753, 1697667047956490332, 
0.6353633476469429, -0.17155964035605234, 0.13845774810814165, 1697667048056086943, 
0.6093693104527577, -0.16392013689587434, 0.12723535443034695, 1697667048157026711, 
0.5718555576974425, -0.22569020386854696, 0.11526491837218536, 1697667048246440900, 
0.5350050743577706, -0.25067447393796, 0.11455931032325149, 1697667048357278392, 
0.4984852640720363, -0.23403084883981065, 0.11218226740637581, 1697667048456082201, 
0.46526623564046365, -0.23289244052991634, 0.09979507867568486, 1697667048557034137, 
0.4375584936778514, -0.21159963228221326, 0.08948616518407485, 1697667048647659009, 
0.4080792563517124, -0.191707337141901, 0.08741899868332684, 1697667048757092264, 
0.35439382026595534, -0.2705476936112188, 0.08337659306202841, 1697667048856095008, 
0.32018416864840893, -0.2937220138675804, 0.07215721940806274, 1697667048957037038, 
0.2964729824266352, -0.2005446124316749, 0.06188550501862197, 1697667049047286326, 
0.2689337990879316, -0.17116200530896922, 0.059061199926724726, 1697667049157110898, 
0.24660067565035915, -0.15878914559768864, 0.05651949404134721, 1697667049256100273, 
0.2253407599700018, -0.14539812898930085, 0.0493785340010958, 1697667049357057657, 
0.20726680830835498, -0.137789764064336, 0.04303587683360433, 1697667049446185761, 
0.15784752466154406, -0.21608406569780528, 0.03937676266161544, 1697667049557124164, 
0.1369866655582277, -0.21797724807855579, 0.03531559390454586, 1697667049657192674, 
0.11925434515403865, -0.12861448616856794, 0.02761111904562267, 1697667049757161958, 
0.10181927531103274, -0.12362991915718559, 0.022685193959580074, 1697667049847260058, 
0.08472060913936907, -0.11637888658064628, 0.020383156450808577, 1697667049957131295, 
0.07250635007262152, -0.09301104160310192, 0.018033539969141848, 1697667050056105479, 
0.06185349108106353, -0.07666291395875646, 0.014526914587068437, 1697667050156057049, 
0.0427042223318892, -0.10571147402043701, 0.011267090638039897, 1697667050247004023, 
0.029382351277166263, -0.1102826633791631, 0.009004855286814632, 1697667050357748499, 
0.02209980713871218, -0.06416835688428903, 0.006643121155622888, 1697667050458598983, 
0.016301424646958385, -0.04416706289543748, 0.004451698521617151, 1697667050554774017, 
0.010011993429537513, -0.042950847259290444, 0.0030324051425079067, 1697667050646506634, 
0.002500361872971313, -0.0456195497761595, 0.0019374291705099118, 1697667050756493039, 
-0.0009506444863820462, -0.03416031024959044, 0.0008129328148823358, 1697667050857444140, 
-0.002656544580346365, -0.017213630047512234, -7.330038428694038e-05, 1697667050955170081, 
-0.004080562217452899, -0.011048991877830672, -0.0004829948494418411, 1697667051045923774, 
-0.005277595500786658, -0.008818845063254392, -0.0008087701017389909, 1697667051157115185, 
-0.004489496047483721, -0.0009608621245719892, -0.0009747216746721544, 1697667051257090595, 
-0.0030972904056394412, 0.007411722287514754, -0.0008446672745668703, 1697667051354093309, 
-0.003156819895201668, 0.004569346469086486, -0.0006783222935148871, 1697667051446502494, 
-0.00483088108120433, -0.005260272403696326, -0.0007501063244897095, 1697667051557099238, 
-0.003991276147018219, -0.0022482196346131455, -0.0008411055877219676, 1697667051657147922, 
-0.0024599107944320853, 0.008090682562926362, -0.0007389068642709901, 1697667051753580999, 
-0.007217070351628996, -0.011637296280806037, -0.000866078872183, 1697667051847240672, 
-0.00933854772482845, -0.023367470890548015, -0.0012900220546046668, 1697667051957102352, 
-0.00892493962742602, -0.005058821066709274, -0.0017828965443138706, 1697667052057153253, 
-0.011626728251679319, -0.00789714058939948, -0.0019642736981812406, 1697667052154251184, 
-0.012648757556950274, -0.012966187894424407, -0.002096006801797581, 1697667052246549031, 
-0.015382678098588176, -0.011933241128231556, -0.002681737987054882, 1697667052357115189, 
-0.0155503091142557, -0.008799763113036667, -0.0030620551453227757, 1697667052457329152, 
-0.018553427108983556, -0.011005172451589836, -0.003233594861908087, 1697667052553144437, 
-0.02248257274008747, -0.024378300886086373, -0.0035806253775381644, 1697667052647160868, 
-0.02556398358465728, -0.023271469832839425, -0.0045283386232080084, 1697667052757123705, 
-0.030002623806792084, -0.024132489455353272, -0.005463133976732944, 1697667052857149005, 
-0.03232175715872332, -0.022929235975473403, -0.005713416188230641, 1697667052952146660, 
-0.038739166222093724, -0.03077494567973113, -0.006383617747283583, 1697667053046642188, 
-0.05050001170103546, -0.058124526717667956, -0.008305293095115315, 1697667053157112830, 
-0.06261636967225392, -0.07588520728237395, -0.010652426529576861, 1697667053257087444, 
-0.07983697507395515, -0.09775271889810906, -0.012867241412188759, 1697667053357170113, 
-0.12420085926584212, -0.19198584254302187, -0.01865896437783149, 1697667053467010604, 
-0.1928982545945156, -0.36362255677678695, -0.025058577543727676, 1697667053546560130, 
-0.32784556816457977, -0.6357563806411441, -0.040875588048018136, 1697667053657145925, 
-0.7596029382243012, -1.829198353773285, -0.09037708003423993, 1697667053758324043, 
