x, y, theta, stamp, 
2.2461655139923096, 1.2247188091278076, -0.3099917406795855, 1697667046665961225, 
2.2461655139923096, 1.2247188091278076, -0.3099917406795855, 1697667046716864104, 
2.2461655139923096, 1.2247188091278076, -0.3099917406795855, 1697667046756037832, 
2.2470273971557617, 1.2244001626968384, -0.3061303072722938, 1697667046806330083, 
2.249147415161133, 1.2237809896469116, -0.30194926748714407, 1697667046837033413, 
2.2558109760284424, 1.221953272819519, -0.2902483625440403, 1697667046901011720, 
2.2630860805511475, 1.2198286056518555, -0.27683221123628676, 1697667046952063729, 
2.2720518112182617, 1.217506766319275, -0.25997793288738397, 1697667047003185727, 
2.2825160026550293, 1.2149670124053955, -0.24222813192244677, 1697667047049495686, 
2.2927536964416504, 1.2126250267028809, -0.22389490311054994, 1697667047091484107, 
2.312779426574707, 1.2083972692489624, -0.18833162390371205, 1697667047163063511, 
2.341787099838257, 1.203631043434143, -0.13968294683868707, 1697667047251899167, 
2.37286376953125, 1.2002896070480347, -0.08498155276393546, 1697667047350973254, 
2.4018871784210205, 1.1986311674118042, -0.036607929164268055, 1697667047447098029, 
2.4354147911071777, 1.1981862783432007, 0.025351272608165266, 1697667047557092593, 
2.466416597366333, 1.1998575925827026, 0.07752403037511861, 1697667047656079073, 
2.497330904006958, 1.2029926776885986, 0.13002237964700505, 1697667047757154563, 
2.52484130859375, 1.207175374031067, 0.18040338683204804, 1697667047846677393, 
2.558314561843872, 1.2143112421035767, 0.24941432221665927, 1697667047956490332, 
2.5876686573028564, 1.2227526903152466, 0.30695384201660375, 1697667048056086943, 
2.6166977882385254, 1.232972264289856, 0.3679239828226001, 1697667048157026711, 
2.641944646835327, 1.2436236143112183, 0.4213156181743763, 1697667048246440900, 
2.672783374786377, 1.2584635019302368, 0.4844542717139518, 1697667048357278392, 
2.699321985244751, 1.2737195491790771, 0.5435336103939898, 1697667048456082201, 
2.7253832817077637, 1.2905677556991577, 0.5993264185783339, 1697667048557034137, 
2.748051881790161, 1.306950569152832, 0.6470009431013903, 1697667048647659009, 
2.774296998977661, 1.3275253772735596, 0.7005392311131902, 1697667048757092264, 
2.797276020050049, 1.3479433059692383, 0.7454593189230352, 1697667048856095008, 
2.819823980331421, 1.3695460557937622, 0.7931831351453448, 1697667048957037038, 
2.839130163192749, 1.389469027519226, 0.828486383381557, 1697667049047286326, 
2.861332893371582, 1.4143131971359253, 0.8692769494761282, 1697667049157110898, 
2.8807032108306885, 1.4382134675979614, 0.9028447777271527, 1697667049256100273, 
2.8995678424835205, 1.462748646736145, 0.9352634817487536, 1697667049357057657, 
2.9158689975738525, 1.4853274822235107, 0.9629839517079674, 1697667049446185761, 
2.9351706504821777, 1.513848066329956, 0.9960048048992831, 1697667049557124164, 
2.951690196990967, 1.5403733253479004, 1.0220852295570917, 1697667049657192674, 
2.96714448928833, 1.5665708780288696, 1.0443840699792275, 1697667049757161958, 
2.9809093475341797, 1.5907927751541138, 1.0657368829184612, 1697667049847260058, 
2.9971365928649902, 1.62103271484375, 1.0869492840512223, 1697667049957131295, 
3.0110208988189697, 1.6485321521759033, 1.1021177086667795, 1697667050056105479, 
3.0245323181152344, 1.6758509874343872, 1.1155874907817056, 1697667050156057049, 
